Checked,Index,Unique ID,Output Date/Time,Agency,Site Name,Page Name,URL,Page View URL,Last Two - Side by Side,Latest to Base - Side by Side,Date Found - Latest,Date Found - Base,Diff length,Diff hash,Who Found This?,1,2,3,4,5,6,7,8,9,10,11,12,1,2,3,4,5,6,Choose from drop down menu,,Leave blank (used on Patterns sheet),Further Notes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2394,4efd203d-2096-42eb-a688-b53845ca13f3,2017-02-07 00:23:14 -0500,EPA,EPA - epa.gov/aboutepa/about-epa-region-4-southeast,Restricted Access | US EPA,https://www.epa.gov/grenadacleanup/what-grenada-manufacturing-llc-facility-doing-grenada-ms,https://versionista.com/73995/6189422/,https://versionista.com/73995/6189422/9775011:0/,https://versionista.com/73995/6189422/9775011:9453592/,2/6/2017 13:52:00,1/17/2017 23:25:00,,,Ed,,,,,,y,,,,,,,y,,,y,,,Toxic Substances ,Accessibility (decrease) ,,Main page re: Grenada Contamination removed,,Remediation ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,5045,35b8d1d4-8a58-43da-af16-54c63534ecbe,2017-02-03 17:24:21 -0500,EPA,EPA - epa.gov,PRN 2001-5: Guidance for Pesticide Registrants on Pesticide Resistance Management Labeling | Pesticide Registration | US EPA,https://www.epa.gov/pesticide-registration/prn-2001-5-guidance-pesticide-registrants-pesticide-resistance-management,https://versionista.com/72125/6169956/,https://versionista.com/72125/6169956/9730197:0/,https://versionista.com/72125/6169956/9730197:9369848/,2/3/2017 8:10:00,1/12/2017 18:23:00,,,Madelaine,y,y,,,,,,,,,,,,y,y,,,,Toxic Substances ,,,"Content removal, softened language  ",Unclear whether clarification or softening,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,5078,c8ccb098-c187-45f6-81f7-2338dbfc1934,2017-02-03 17:24:46 -0500,EPA,EPA - epa.gov,Toxics Release Inventory (TRI) Program | US EPA,https://www.epa.gov/toxics-release-inventory-tri-program,https://versionista.com/72125/6071341/,https://versionista.com/72125/6071341/9718686:0/,https://versionista.com/72125/6071341/9718686:9099168/,2/2/2017 15:32:00,12/23/2016 14:51:00,,,Madelaine,y,y,y,y,,,,,,,,y,,y,y,y,,,Toxic Substances ,,,Content removed and language change for Toxic Release Inventory (TRI),Unclear whether clarification or softening,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,5079,040e05f6-534a-47fb-a1ba-461c863db534,2017-02-03 17:24:47 -0500,EPA,EPA - epa.gov,Hazardous Waste Permitting | US EPA,https://www.epa.gov/hwpermitting,https://versionista.com/72125/6190965/,https://versionista.com/72125/6190965/9718642:0/,https://versionista.com/72125/6190965/9718642:9496447/,2/2/2017 15:27:00,1/19/2017 23:23:00,,,Madelaine,y,y,,,,,,,,,,y,y,y,y,,,,Toxic Substances ,,,Content removed and language change for Hazadarous Waste Permitting,,Keywords,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,5081,ba4cc9c7-87d4-4336-996c-f20b12695bba,2017-02-03 17:24:48 -0500,EPA,EPA - epa.gov,United States Environmental Protection Agency | US EPA,https://www.epa.gov/,https://versionista.com/72125/6071199/,https://versionista.com/72125/6071199/9717806:0/,https://versionista.com/72125/6071199/9717806:9098197/,2/2/2017 14:34:00,12/23/2016 13:46:00,,,Madelaine ,y,y,,,,,,,,,,y,y,y,y,y,,,Climate Change ,,,"Content removed, language changed ","""Carbon footprint"" removed from popular topics",GHG emissions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,5293,e6a4e73a-847e-419e-9d41-5cd8046d2008,2017-02-03 17:30:31 -0500,State,State - state.gov,Office of the Special Envoy for Climate Change,https://www.state.gov/s/climate/,https://versionista.com/72846/6123644/,https://versionista.com/72846/6123644/9719277:0/,https://versionista.com/72846/6123644/9719277:9278252/,2/2/2017 16:27:00,1/6/2017 11:11:00,,,Madelaine ,,,y,,,y,,,,,,,,y,y,,,,Climate Change ,,,"Major Content Links Removed, including ""Oceans, Science, Environment Bureau's Climate Change Page"" Removed, ""Major Economies Forum on Energy and Climate"" Removed, ""Special Envoy for for Climate Change"" Removed, ""Remarks, Briefings, Reports, Releases"" Removed, ""Recovery and Reinvestment Act Removed,"" ""Video"" Removed, ""Remarks"" and ""Archives"" Added ",Combine with other changes seen at State OGC and OSECC,Emissions ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,5294,5928d60b-ea23-4355-87bc-44159f40465d,2017-02-03 17:30:32 -0500,State,State - state.gov,Bureau of Oceans and International Environmental and Scientific Affairs,https://www.state.gov/e/oes/,https://versionista.com/72846/6123663/,https://versionista.com/72846/6123663/9719228:0/,https://versionista.com/72846/6123663/9719228:9278265/,2/2/2017 16:23:00,1/6/2017 11:13:00,,,Madelaine ,,y,,,,,,,,,,,,y,y,,,,Climate Change ,,,"Major Content Links Removed, ""Remarks"" and ""Archives"" Added",,Adaptation ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,5295,d721f998-5950-4f9a-872f-e2fd089d88a9,2017-02-03 17:30:33 -0500,State,State - state.gov,Office of Global Change,https://www.state.gov/e/oes/climate/,https://versionista.com/72846/6123624/,https://versionista.com/72846/6123624/9719206:0/,https://versionista.com/72846/6123624/9719206:9278238/,2/2/2017 16:20:00,1/6/2017 11:10:00,,,Madelaine ,,,y,,,y,,,,,,,,y,y,y,,,,,,"Content Changes and Deleted Links/Pages including: Climate Action Report removed, language softened for Office of Global Change,  ""Remarks"" and ""Archives"" Added",Already reported on (11),Mitigation ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,5296,47ba6212-4fde-4c0e-86ad-35e541ad8337,2017-02-03 17:30:33 -0500,State,State - state.gov,Phasing Down HFCs,https://www.state.gov/e/oes/hfcs/index.htm,https://versionista.com/72846/6147978/,https://versionista.com/72846/6147978/9719194:0/,https://versionista.com/72846/6147978/9719194:9319254/,2/2/2017 16:19:00,1/9/2017 12:51:00,,,Madelaine ,,,y,,,y,,,,,,,,,y,y,,,,,,"Content and Links Removed, including HFCs and International Statements ",Already reported on (11),Accessibility (increase) ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2411,c72b2cf2-af4f-4ac7-ae47-1e4ce351bd10,2017-02-03 12:50:29 -0500,DOE,DOE - eia.gov,"Energy Efficiency and Conservation - Energy Explained, Your Guide To Understanding Energy - Energy Information Administration",www.eia.gov/energyexplained/index.cfm?page=about_energy_efficiency,https://versionista.com/74283/6215386/,https://versionista.com/74283/6215386/9730939:0/,https://versionista.com/74283/6215386/9730939:9443601/,,1/17/2017 13:12:00,,,Madelaine,,y,y,y,,,,,,,,,y,y,y,,,,,,,"Content Changes: Image removed, link removed, softened language","Already reported on (10, 10b)",Accessibility (decrease) ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
