Subprimer,Office Code,id_agency,id_subagency,id_org,id_suborg,subprimer_line_num,assigned_indiv,seeding_complete,Date,Event,Comments,is_office
Electrical Efficiency Programs,205100002,2,5,10,0,2,,1,11-Feb,DataRescue SF,,
Electrical Grid Programs,205100007,2,5,10,0,7,,1,11-Feb,DataRescue SF,,
Electricity Storage Programs,205100008,2,5,10,0,8,,1,11-Feb,DataRescue SF,,
Engagement,205100016,2,5,10,0,16,,1,11-Feb,DataRescue SF,,
Funding Agreements and Project Guidelines,205100015,2,5,10,0,15,,1,11-Feb,DataRescue SF,,
Interactive Project Map (uncrawlable),205100013,2,5,10,0,13,,1,11-Feb,DataRescue SF,,
Manufacturing Efficiency Programs,205100003,2,5,10,0,3,,1,11-Feb,DataRescue SF,,
Resource Efficiency Programs,205100004,2,5,10,0,4,,1,11-Feb,DataRescue SF,,
Tech2Market,205100014,2,5,10,0,14,,1,11-Feb,DataRescue SF,,
Transportation Fuels Programs,205100009,2,5,10,0,9,,1,11-Feb,DataRescue SF,,
Transportation Network Programs,205100010,2,5,10,0,10,,1,11-Feb,DataRescue SF,,
Transportation Storage Programs,205100011,2,5,10,0,11,,1,11-Feb,DataRescue SF,,
Transportation Vehicles Programs,205100012,2,5,10,0,12,,1,11-Feb,DataRescue SF,,
Budget & Perfomance,205090013,2,5,9,0,13,,1,1/27-1/40,A2 Datarescue,,
Consumption and Efficiency: Analyses and Projections,205090008,2,5,9,0,8,,1,1/27-1/35,A2 Datarescue,,
Consumption and Efficiency: Data,205090007,2,5,9,0,7,,1,1/27-1/34,A2 Datarescue,,
Energy Information Administration,205090000,2,5,9,0,,,19/19,,,,1
Freedom of Information Act,205090018,2,5,9,0,18,,1,1/27-1/45,A2 Datarescue,,
Information Quality Guidelines,205090015,2,5,9,0,15,,1,1/27-1/42,A2 Datarescue,,
Legislative Timeline,205090019,2,5,9,0,19,,1,1/27-1/46,A2 Datarescue,,
Model Documentation: Reports,205090009,2,5,9,0,9,,1,1/27-1/36,A2 Datarescue,,
Open Data: API,205090010,2,5,9,0,10,,1,1/27-1/37,A2 Datarescue,,
Open Data: Data Query Tools,205090011,2,5,9,0,11,,1,1/27-1/38,A2 Datarescue,,
Open Data: Excel Data Add-In,205090012,2,5,9,0,12,,1,1/27-1/39,A2 Datarescue,,
Renewable and Alternative Fuels: Analyses and Projections,205090002,2,5,9,0,2,,1,1/27-1/29,A2 Datarescue,,
Renewable and Alternative Fuels: Data,205090001,2,5,9,0,1,,1,1/27-1/28,A2 Datarescue,,
Renewable and Alternative Fuels: Time Series,205090003,2,5,9,0,3,,1,1/27-1/30,A2 Datarescue,,
Standards Manual,205090016,2,5,9,0,16,,1,1/27-1/43,A2 Datarescue,,
Statement of Committment to Scientific Integrity by Principal Statistical Agencies,205090017,2,5,9,0,17,,1,1/27-1/44,A2 Datarescue,,
Strategic Plan,205090014,2,5,9,0,14,,1,1/27-1/41,A2 Datarescue,,
Total Energy: Analyses and Projections,205090006,2,5,9,0,6,,1,1/27-1/33,A2 Datarescue,,
Total Energy: Annual Data,205090005,2,5,9,0,5,,1,1/27-1/32,A2 Datarescue,,
Total Energy: Monthly Data,205090004,2,5,9,0,4,,1,1/27-1/31,A2 Datarescue,,
Ames Laboratory,206010003,2,6,1,0,3,,0,,,,
Energy Systems Integration Facility,206100023,2,6,10,0,23,,1,1/27-1/30,A2 Datarescue,,
Geographic Information System,206100022,2,6,10,0,22,,1,1/27-1/29,A2 Datarescue,,
High Performance Computing,206100024,2,6,10,0,24,,1,1/27-1/28,A2 Datarescue,,
Innovation Impact,206100018,2,6,10,0,18,,1,1/27-1/35,A2 Datarescue,,
National Center for Photovoltaics,206100020,2,6,10,0,20,,0,,,,
National Renewable Energy Lab (has its own subprimer),206100017,2,6,10,0,17,,0,,,,
National Renewable Energy Laboratory,206100000,2,6,10,0,,,22/26,,,,1
